"Name","agentforce1__External_Id__c","agentforce1__Ignore_Triggers__c","agentforce1__Purpose_Description__c","agentforce1__Relationship_Field__c","agentforce1__Relationship_Name__c","agentforce1__Order__c","agentforce1__Schema_Mapping__r.agentforce1__External_Id__c","agentforce1__sObjectType__c","agentforce1__Parent_sObjectType__c"
"Shopping_List__c","c40dd8c3-c485-4479-93a5-38ab7eeda795","false","This object contains the outline of the shopping list. It has the details like the total, the date etc.","","Auto populated based on (Parent) Relationship Field value","1","5ee26446-f8ec-4bdc-a6dd-a1119f987414","Shopping_List__c",""
"Account","cf1b8f54-3054-4eb8-8570-da7c1572a35f","false","","","Auto populated based on (Parent) Relationship Field value","1","8ecec2da-c22e-4d20-9602-1f15d42b6e9c","Account",""
"Case","44ef963e-1988-41a2-ad08-b2c8b4ceb334","false","The parent case where related emails are going to be checked and scored on their spam probability","","Auto populated based on (Parent) Relationship Field value","1","2ca7b407-82da-4a6c-8f20-0827b872a4fb","Case",""
"Contact","c73dcfdb-0cbd-4f46-8600-b49cfee2d754","false","The person that logged the call","","Auto populated based on (Parent) Relationship Field value","1","bd2dfad5-9758-4dfb-8921-562a2b054d4c","Contact",""
"Account (Parent)","67d769fd-04b5-492e-a52e-cf7851505d07","false","This Object contains information about the account at the account level","","Auto populated based on (Parent) Relationship Field value","1","09f052f2-8399-4a33-9eed-4f14e279e790","Account",""
"Account","53f389c3-ae48-4dc1-abcc-67d986793c79","false","","","Auto populated based on (Parent) Relationship Field value","1","c30b8095-4fb0-4b3b-bd6d-63b8c36c7111","Account",""
"Process__c","867777fa-f471-4e95-9b95-39c9124cfd36","false","This objects contains all the generic metadata related a business process. Things like the name, version etc.","","Auto populated based on (Parent) Relationship Field value","1","406bf323-fbcf-4f1f-8438-1a98de7d0b37","Process__c",""
"Contact","75e4f5bf-c034-4efa-9702-44b4152446bb","false","test","AccountId","Contacts","1.1","c30b8095-4fb0-4b3b-bd6d-63b8c36c7111","Contact","Account"
"ContentDocumentLink","65c2991f-305d-49da-991c-44fc274f3f1e","false","test","LinkedEntityId","ContentDocumentLinks","1.1","406bf323-fbcf-4f1f-8438-1a98de7d0b37","ContentDocumentLink","Process__c"
"Allergy_Analysis__c","95d3d702-eadc-4e95-b7b6-d06d880ecf50","false","This object contains one or more records with allergy information about the product.","Shopping_List__c","Allergy_Analyses__r","1.1","5ee26446-f8ec-4bdc-a6dd-a1119f987414","Allergy_Analysis__c","Shopping_List__c"
"Spam_Analysis__c","772ec251-c031-452e-96b8-ca1524f5c9c6","false","This object contains results from scanning incoming emails on their likely hood for being spam emails.
Multiple email can be received in the same input data. Create one of these records for each spam email.","Case__c","spam_analyses__r","1.1","2ca7b407-82da-4a6c-8f20-0827b872a4fb","Spam_Analysis__c","Case"
"Case","a2364d25-8d1d-40f7-be44-a785831436c9","false","If the customer has any request or complaint, create a new case. There can be more than one case","AccountId","Cases","1.1","8ecec2da-c22e-4d20-9602-1f15d42b6e9c","Case","Account"
"Account (Child)","aa742a62-17e6-4909-a0d2-0e3ba9d1d4eb","false","This Object contains information about the account at the account level","ParentId","ChildAccounts","1.1","09f052f2-8399-4a33-9eed-4f14e279e790","Account","Account"
"Case","41e730f8-61f4-4b12-bccc-16d689105f0f","false","test","ContactId","Cases","1.1.1","c30b8095-4fb0-4b3b-bd6d-63b8c36c7111","Case","Contact"
"Case","1e8d3ecb-4e37-4885-bb02-dd50d2c97be8","false","","AccountId","Cases","1.1.1","09f052f2-8399-4a33-9eed-4f14e279e790","Case","Account"
"Task","6c7cdd76-5e04-4bef-8764-7d92e891aaeb","false","test","WhatId","Tasks","1.1.1.1","c30b8095-4fb0-4b3b-bd6d-63b8c36c7111","Task","Case"
"Opportunity","d65f0b1a-8c7c-495f-9c21-3426226dd006","false","test","ContactId","Opportunities","1.1.2","c30b8095-4fb0-4b3b-bd6d-63b8c36c7111","Opportunity","Contact"
"Contact","0c5ac330-d44e-41aa-a93d-a8ebe6cb070f","false","Contact level details (actual human) for the contact related to the account.","AccountId","Contacts","1.1.2","09f052f2-8399-4a33-9eed-4f14e279e790","Contact","Account"
"Task","5f6a7cf2-29ba-4850-968d-e1162594e4ee","false","test","WhatId","Tasks","1.1.2.1","c30b8095-4fb0-4b3b-bd6d-63b8c36c7111","Task","Opportunity"
"Task","1618afca-14cf-48e0-b018-c0eb725ff23c","false","","WhoId","Tasks","1.1.2.1","09f052f2-8399-4a33-9eed-4f14e279e790","Task","Contact"
"Step__c","02d9a684-2c2b-48ad-b407-0c18b50e01bb","false","This object contains all information relating a step in a business process. There are different types of steps: Start, Process, Decision and End.","Process__c","Steps__r","1.2","406bf323-fbcf-4f1f-8438-1a98de7d0b37","Step__c","Process__c"
"Task","538dbc00-3cbc-4f4f-8706-69e008f733db","false","If the call contains any actions that have a clear date (can be an actual date or something like, next week, in three weeks etc) create an actionable task.","WhatId","Tasks","1.2","8ecec2da-c22e-4d20-9602-1f15d42b6e9c","Task","Account"
"Case","72c7f503-bcab-41a0-bed6-ccb5c4dc3eb6","false","","AccountId","Cases","1.2","09f052f2-8399-4a33-9eed-4f14e279e790","Case","Account"
"ContentDocumentLink","7f3cb96d-3e73-4567-929c-f65af500a085","false","To create a link to the input file","LinkedEntityId","ContentDocumentLinks","1.2","5ee26446-f8ec-4bdc-a6dd-a1119f987414","ContentDocumentLink","Shopping_List__c"
"ContentDocumentLink","3c4a2d0e-f79c-42d3-914f-3dc1fd56003d","false","This links an optional input file to the top level account record. Only link the top level account. If there is no input file or you are not 100% certain about the ContentDocumentId from the prompt template, do not create a ContentDocumentLink record.","LinkedEntityId","ContentDocumentLinks","1.2","c30b8095-4fb0-4b3b-bd6d-63b8c36c7111","ContentDocumentLink","Account"
"Outcome__c","d8815459-c71c-4b41-8a73-3b4052dd5c29","false","This list of outcomes is added as a child of the process steps when the type is decision. When a decision is made there are multiple outcomes. Outcomes.","Step__c","Outcomes1__r","1.2.1","406bf323-fbcf-4f1f-8438-1a98de7d0b37","Outcome__c","Step__c"
"Contact","3ba9fac1-fb7e-492c-b4df-22f63bb566fc","false","Contact level details (actual human) for the contact related to the account.","AccountId","Contacts","1.3","09f052f2-8399-4a33-9eed-4f14e279e790","Contact","Account"
"Task","1e9f3f31-265e-409e-97ba-3d854c5b4492","false","Any tasks related to this specific account go in this object. Basically any contact request, like calls etc","WhoId","Tasks","1.3.1","09f052f2-8399-4a33-9eed-4f14e279e790","Task","Contact"
"Task","693a4e07-2ced-4654-8b2a-a15d31f36630","false","","","Auto populated based on (Parent) Relationship Field value","2","406bf323-fbcf-4f1f-8438-1a98de7d0b37","Task",""
